s,C,1/m
Time,TEMPERATURE_C,EXTINCTION_PER_M
 2.6705446E+002, 5.9397256E+001, 1.7838980E+000
 2.6803231E+002, 6.0505386E+001, 1.8298453E+000
 2.6901016E+002, 6.1606580E+001, 1.8798974E+000
 2.7008580E+002, 6.1936789E+001, 1.9073441E+000
 2.7103290E+002, 6.1423416E+001, 1.9006651E+000
 2.7206906E+002, 6.0333417E+001, 1.8661169E+000
 2.7304809E+002, 5.9171343E+001, 1.8217856E+000
 2.7403763E+002, 5.8955683E+001, 1.8158189E+000
 2.7505493E+002, 5.9380709E+001, 1.8405793E+000
 2.7600099E+002, 6.0006519E+001, 1.8697793E+000
 2.7706130E+002, 6.0561704E+001, 1.9023633E+000
 2.7804973E+002, 6.0661908E+001, 1.9168105E+000
 2.7903816E+002, 6.0984622E+001, 1.9355312E+000
 2.8002659E+002, 6.1571614E+001, 1.9645873E+000
 2.8107599E+002, 6.1162432E+001, 1.9581085E+000
 2.8202999E+002, 6.0465090E+001, 1.9330644E+000
 2.8307939E+002, 6.0165026E+001, 1.9225075E+000
 2.8403340E+002, 6.0163971E+001, 1.9314082E+000
 2.8508280E+002, 6.0273448E+001, 1.9397638E+000
 2.8603680E+002, 5.9402750E+001, 1.9094854E+000
 2.8704653E+002, 5.8664858E+001, 1.8833664E+000
 2.8807924E+002, 5.8511455E+001, 1.8723325E+000
 2.8901807E+002, 5.8916565E+001, 1.8749139E+000
 2.9005079E+002, 5.9965642E+001, 1.9073320E+000
 2.9104037E+002, 6.0976912E+001, 1.9510027E+000
 2.9202927E+002, 6.1160536E+001, 1.9616656E+000
 2.9303478E+002, 6.1331455E+001, 1.9791842E+000
 2.9408756E+002, 6.2279564E+001, 2.0331031E+000
 2.9507225E+002, 6.3226332E+001, 2.0861787E+000
 2.9605693E+002, 6.3266354E+001, 2.1023649E+000
 2.9701476E+002, 6.2390566E+001, 2.0848057E+000
 2.9802265E+002, 6.1405269E+001, 2.0600079E+000
 2.9905156E+002, 6.1147784E+001, 2.0577524E+000
 3.0004775E+002, 6.1462320E+001, 2.0777277E+000
 3.0107188E+002, 6.1014490E+001, 2.0709525E+000
 3.0200291E+002, 6.0052730E+001, 2.0371958E+000
 3.0302704E+002, 6.0196328E+001, 2.0380857E+000
 3.0405117E+002, 6.0629142E+001, 2.0529626E+000
 3.0507500E+002, 6.1182383E+001, 2.0936437E+000
 3.0600482E+002, 6.0790966E+001, 2.0916636E+000
 3.0701318E+002, 6.0699401E+001, 2.0801618E+000
 3.0808704E+002, 6.1565032E+001, 2.1129877E+000
 3.0903016E+002, 6.0817856E+001, 2.0948141E+000
 3.1006759E+002, 5.9054551E+001, 2.0065822E+000
 3.1101070E+002, 5.9244117E+001, 1.9867942E+000
 3.1201984E+002, 5.9974340E+001, 2.0104220E+000
 3.1302442E+002, 6.0388762E+001, 2.0349721E+000
 3.1406553E+002, 6.0866534E+001, 2.0711602E+000
 3.1507010E+002, 6.1837177E+001, 2.1205603E+000
 3.1607468E+002, 6.2589367E+001, 2.1430886E+000
 3.1701054E+002, 6.2120767E+001, 2.1306971E+000
 3.1807401E+002, 6.0574604E+001, 2.0845919E+000
 3.1900987E+002, 6.0498564E+001, 2.0972183E+000
 3.2003931E+002, 6.1457991E+001, 2.1428367E+000
 3.2105930E+002, 6.2133596E+001, 2.1771141E+000
 3.2206893E+002, 6.2372628E+001, 2.1872556E+000
 3.2304659E+002, 6.2669021E+001, 2.2024138E+000
 3.2406732E+002, 6.1549903E+001, 2.1680390E+000
 3.2503142E+002, 5.9795661E+001, 2.1121570E+000
 3.2608316E+002, 5.9713776E+001, 2.1108464E+000
 3.2703702E+002, 5.9842056E+001, 2.1348047E+000
 3.2808570E+002, 5.9257172E+001, 2.1362739E+000
 3.2903904E+002, 5.9021461E+001, 2.1439342E+000
 3.3008772E+002, 5.8990412E+001, 2.1544094E+000
 3.3104106E+002, 5.7848465E+001, 2.1210223E+000
 3.3208973E+002, 5.8096116E+001, 2.1348784E+000
 3.3306428E+002, 5.9727748E+001, 2.1921115E+000
 3.3408326E+002, 6.1017786E+001, 2.2356877E+000
 3.3506447E+002, 6.1289321E+001, 2.2515832E+000
 3.3606527E+002, 6.1074414E+001, 2.2506812E+000
 3.3703039E+002, 6.1203492E+001, 2.2680000E+000
 3.3804615E+002, 6.1573961E+001, 2.3013161E+000
 3.3903493E+002, 6.1863812E+001, 2.3223281E+000
 3.4007110E+002, 6.2040796E+001, 2.3331884E+000
 3.4104547E+002, 6.2501625E+001, 2.3598162E+000
 3.4201984E+002, 6.3338916E+001, 2.4100530E+000
 3.4309165E+002, 6.3612920E+001, 2.4447525E+000
 3.4406602E+002, 6.2765762E+001, 2.4339459E+000
 3.4504039E+002, 6.2270619E+001, 2.4320151E+000
 3.4601476E+002, 6.2153160E+001, 2.4350537E+000
 3.4708657E+002, 6.1767265E+001, 2.4167829E+000
 3.4806094E+002, 6.1629761E+001, 2.3992978E+000
 3.4901582E+002, 6.2121402E+001, 2.4014736E+000
 3.5008763E+002, 6.2689449E+001, 2.4133090E+000
 3.5104138E+002, 6.3647020E+001, 2.4468368E+000
 3.5209050E+002, 6.5223679E+001, 2.5092761E+000
 3.5304425E+002, 6.6040200E+001, 2.5650162E+000
 3.5409337E+002, 6.4637343E+001, 2.5283642E+000
 3.5501851E+002, 6.1578638E+001, 2.3952688E+000
 3.5609142E+002, 6.0535346E+001, 2.3440522E+000
